epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,4620.78,1.17258,1.30926,1.49136,0.68071,0.47949,0.51145,0.325,1.27814,1.27093,1.61163,0.000125267,0.000125267,0.000125267
108,4668.33,1.17341,1.30236,1.50327,0.82223,0.42977,0.50879,0.32419,1.25652,1.25871,1.58513,0.000122515,0.000122515,0.000122515
109,4707.53,1.17998,1.3024,1.49832,0.65955,0.46301,0.50097,0.31684,1.27403,1.28236,1.60246,0.000119762,0.000119762,0.000119762
110,4749.21,1.1541,1.27727,1.48805,0.69849,0.45362,0.50174,0.31794,1.26217,1.24996,1.58106,0.00011701,0.00011701,0.00011701
111,4793.29,1.15621,1.28139,1.48163,0.72291,0.46626,0.50156,0.3192,1.26447,1.26379,1.58825,0.000114258,0.000114258,0.000114258
112,4833.23,1.16127,1.28412,1.48033,0.70924,0.45062,0.52141,0.32726,1.25822,1.2493,1.58958,0.000111506,0.000111506,0.000111506
113,4875.28,1.14159,1.28367,1.48276,0.74591,0.44896,0.51792,0.32752,1.2705,1.25063,1.59541,0.000108754,0.000108754,0.000108754
114,4918.09,1.15967,1.28971,1.49171,0.69194,0.49018,0.52569,0.33165,1.26741,1.2432,1.58927,0.000106001,0.000106001,0.000106001
115,4964.6,1.16872,1.27966,1.48803,0.6428,0.48527,0.51138,0.32893,1.25312,1.24688,1.58764,0.000103249,0.000103249,0.000103249
116,5005.43,1.14617,1.26023,1.47282,0.66796,0.49802,0.51278,0.32931,1.25089,1.2392,1.57768,0.000100497,0.000100497,0.000100497
117,5049.96,1.13511,1.26018,1.46942,0.67902,0.48191,0.52088,0.33385,1.26354,1.24932,1.58412,9.77448e-05,9.77448e-05,9.77448e-05
118,5092.37,1.14053,1.26873,1.47398,0.71516,0.48115,0.52162,0.3321,1.25432,1.24357,1.58377,9.49926e-05,9.49926e-05,9.49926e-05
119,5131.07,1.1399,1.26642,1.4686,0.73744,0.47031,0.5302,0.33774,1.26971,1.25841,1.59159,9.22404e-05,9.22404e-05,9.22404e-05
120,5175.24,1.15703,1.26397,1.47899,0.7161,0.49234,0.53606,0.3414,1.24455,1.23712,1.57391,8.94882e-05,8.94882e-05,8.94882e-05
121,5217.38,1.14216,1.2538,1.4763,0.66085,0.49684,0.53189,0.34608,1.25308,1.23316,1.58773,8.6736e-05,8.6736e-05,8.6736e-05
122,5264.96,1.12939,1.24767,1.46335,0.65779,0.49598,0.54371,0.3497,1.24638,1.22592,1.57546,8.39838e-05,8.39838e-05,8.39838e-05
123,5305.37,1.14043,1.24921,1.46856,0.67008,0.49996,0.53141,0.33832,1.26142,1.23885,1.59018,8.12316e-05,8.12316e-05,8.12316e-05
124,5349.92,1.14251,1.25136,1.47099,0.72261,0.48381,0.52997,0.33648,1.25273,1.22435,1.58169,7.84794e-05,7.84794e-05,7.84794e-05
125,5390.86,1.13788,1.24226,1.45946,0.69853,0.49214,0.5258,0.33875,1.24596,1.22971,1.58057,7.57272e-05,7.57272e-05,7.57272e-05
126,5431.07,1.14608,1.26076,1.47429,0.7257,0.48391,0.52889,0.34238,1.23761,1.22386,1.57197,7.2975e-05,7.2975e-05,7.2975e-05
127,5473.21,1.1337,1.24253,1.461,0.70057,0.48044,0.52973,0.33449,1.25357,1.22382,1.58165,7.02228e-05,7.02228e-05,7.02228e-05
128,5515.4,1.13095,1.2405,1.45759,0.67346,0.49429,0.51423,0.32776,1.25144,1.23399,1.58649,6.74706e-05,6.74706e-05,6.74706e-05
129,5561.46,1.11836,1.22798,1.45781,0.65121,0.51579,0.52258,0.33688,1.24607,1.22317,1.57637,6.47184e-05,6.47184e-05,6.47184e-05
130,5604.12,1.11441,1.23316,1.46008,0.71658,0.50125,0.52455,0.33556,1.2558,1.22671,1.58013,6.19662e-05,6.19662e-05,6.19662e-05
131,5655.66,1.1236,1.22613,1.45673,0.76915,0.49101,0.54625,0.3401,1.25239,1.21465,1.57581,5.9214e-05,5.9214e-05,5.9214e-05
