epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,16632.1,0.66852,0.48902,1.12163,0.86348,0.87094,0.89932,0.72185,0.8121,0.55318,1.19687,0.00109,0.00109,0.00109
110,16789.8,0.67276,0.49137,1.11744,0.86451,0.87021,0.89945,0.72237,0.8118,0.55292,1.19662,0.0010075,0.0010075,0.0010075
111,16951.8,0.61901,0.40318,1.10594,0.8639,0.87128,0.8996,0.72285,0.81121,0.55289,1.19621,0.000925,0.000925,0.000925
112,17109.5,0.59418,0.38351,1.09219,0.86393,0.87031,0.89964,0.72264,0.81096,0.55283,1.19605,0.0008425,0.0008425,0.0008425
113,17268.7,0.58784,0.37617,1.08711,0.86218,0.87063,0.90002,0.72308,0.81073,0.55216,1.19611,0.00076,0.00076,0.00076
114,17426,0.57932,0.3675,1.08017,0.86303,0.87011,0.89972,0.72348,0.8104,0.55166,1.19594,0.0006775,0.0006775,0.0006775
115,17584.9,0.57759,0.36618,1.07647,0.86304,0.86986,0.89993,0.72395,0.81041,0.55141,1.19604,0.000595,0.000595,0.000595
116,17740.8,0.56722,0.35964,1.0737,0.86396,0.86778,0.90028,0.72405,0.80992,0.55085,1.1958,0.0005125,0.0005125,0.0005125
117,17900.2,0.5665,0.35782,1.07058,0.86659,0.86782,0.90037,0.72399,0.80962,0.55038,1.19576,0.00043,0.00043,0.00043
118,18058.2,0.56188,0.35788,1.06415,0.86635,0.86714,0.90046,0.72412,0.80937,0.55009,1.19557,0.0003475,0.0003475,0.0003475
119,18216.5,0.55648,0.34873,1.06164,0.86753,0.8664,0.90058,0.72472,0.80914,0.54965,1.19558,0.000265,0.000265,0.000265
120,18375.1,0.55301,0.34807,1.06077,0.86774,0.86595,0.9005,0.72562,0.80867,0.54924,1.1954,0.0001825,0.0001825,0.0001825
