epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2846.42,1.40538,1.21387,1.59695,0.74689,0.67119,0.70019,0.36641,1.92066,1.53043,2.17775,0.000316559,0.000316559,0.000316559
89,2879.18,1.36999,1.19715,1.5772,0.72244,0.63716,0.68101,0.37295,1.92412,1.51541,2.16294,0.000313806,0.000313806,0.000313806
90,2911.86,1.37418,1.18891,1.57523,0.77483,0.67003,0.70827,0.38928,1.91026,1.47168,2.12052,0.000311054,0.000311054,0.000311054
91,2945.34,1.38678,1.18856,1.56932,0.69417,0.6713,0.69934,0.36451,1.91154,1.49415,2.15743,0.000308302,0.000308302,0.000308302
92,2974.49,1.34636,1.1736,1.55727,0.72356,0.62647,0.67803,0.34515,1.93713,1.54655,2.18178,0.00030555,0.00030555,0.00030555
93,3007.28,1.39283,1.19554,1.58131,0.70465,0.6527,0.7128,0.38639,1.92464,1.51415,2.11408,0.000302798,0.000302798,0.000302798
94,3036.38,1.38733,1.18219,1.58198,0.67674,0.71476,0.71591,0.38211,1.91093,1.47417,2.14995,0.000300045,0.000300045,0.000300045
95,3070.06,1.38558,1.16371,1.55801,0.70004,0.7029,0.70323,0.37897,1.90802,1.4915,2.14956,0.000297293,0.000297293,0.000297293
96,3099.01,1.37413,1.16393,1.55352,0.74717,0.71897,0.72395,0.37554,1.93991,1.47861,2.15495,0.000294541,0.000294541,0.000294541
97,3131.24,1.33107,1.15401,1.55665,0.69559,0.70351,0.70757,0.37755,1.9147,1.51305,2.16828,0.000291789,0.000291789,0.000291789
98,3161.27,1.3393,1.15113,1.54859,0.74274,0.69554,0.71173,0.38767,1.9012,1.41826,2.12665,0.000289037,0.000289037,0.000289037
99,3193.46,1.3325,1.15685,1.55253,0.77302,0.66155,0.71422,0.38413,1.88976,1.46221,2.11415,0.000286284,0.000286284,0.000286284
100,3226.24,1.33983,1.15633,1.54611,0.70779,0.69678,0.71775,0.37514,1.91021,1.45992,2.13526,0.000283532,0.000283532,0.000283532
101,3258.29,1.3507,1.16306,1.5493,0.73438,0.70159,0.71657,0.38602,1.90261,1.47856,2.13766,0.00028078,0.00028078,0.00028078
102,3288.53,1.34023,1.13923,1.54291,0.71124,0.73603,0.71922,0.4006,1.93022,1.47017,2.15318,0.000278028,0.000278028,0.000278028
103,3321.72,1.30309,1.11823,1.53279,0.70838,0.69893,0.71213,0.38311,1.90722,1.45794,2.12719,0.000275276,0.000275276,0.000275276
